"t","S, м²","N активних","T життя, с"
830,0.07304752698310664,8,4.5
831,0.07306072167225175,8,15
832,0.07307022499002885,7,2
833,0.07307737211331576,7,1
834,0.07308569733384779,8,2
835,0.07309496503217586,8,11
836,0.07310486104903466,8,1
837,0.07311609224277126,9,6
838,0.07312771613558952,8,20
839,0.07313918294877512,8,0.5
840,0.07315174931938949,8,16
841,0.07316565086688162,9,2
842,0.07317751037914892,9,11
843,0.07318842741362014,9,5.5
844,0.07320083670460183,10,1
845,0.07321418847337956,10,8.5
846,0.07322879687921877,10,3.5
847,0.07324505462120108,11,3
848,0.07326311877895923,12,15.5
849,0.07327576368938996,11,2.5
850,0.07329021501559643,12,11
851,0.07330662983721146,13,1.5
852,0.07332516523386763,14,2
853,0.07334377917034014,13,11.5
854,0.07336129354938394,11,2
855,0.0733806143442035,12,2.5
856,0.07340119177608452,12,14
857,0.07342019841163873,12,1.5
